Label2,Unnamed: 1
1894,MET
1940,MET
1902,MET
1909,MET
1906,MET
1908,MET
1911,MET
1910,MET
1907,MET
1914,MET
1913,MET
1904,MET
1916,MET
1905,MET
1917,MET
1915,MET
1918,MET
1919,MET
1934,MET
1933,MET
1930,MET
1928,MET
1969,MET
1965,MET
1950,MET
1952,MET
1949,MET
1900,MET
1960,MET
1946,MET
1948,MET
1944,MET
1929,MET
1953,MET
1945,MET
1955,MET
1920,MET
1970,MET
1924,MET
1921,MET
1947,MET
1935,MET
1964,MET
1966,MET
1971,MET
1939,MET
1958,MET
1959,MET
1957,MET
1961,MET
1963,MET
1938,MET
1936,MET
1937,MET
1943,MET
1951,MET
1931,MET
1973,MET
1972,MET
1932,MET
1962,MET
1954,MET
1967,MET
1974,MET
1883,MET
1927,MET
1926,MET
1968,MET
1975,MET
1976,MET
1941,MET
1977,MET
1942,MET
1978,MET
1956,MET
1979,MET
1923,MET
1922,MET
1912,MET
1980,MET
1981,MET
1925,MET
1982,MET
1983,MET
1984,MET
1893,MET
1985,MET
1986,MET
1886,MET
1987,MET
1899,MET
1988,MET
1989,MET
1990,MET
1991,MET
1903,MET
1992,MET
1993,MET
1994,MET
1995,MET
1996,MET
1997,MET
1998,MET
1875,MET
1872,MET
1884,MET
1877,MET
1898,MET
1878,MET
1881,MET
1901,MET
1999,MET
2000,MET
2001,MET
2002,MET
2003,MET
2005,MET
2004,MET
2006,MET
1895,MET
2007,MET
2008,MET
2009,MET
2010,MET
2011,MET
2012,MET
2013,MET
1880,Whitney
1882,Whitney
1890,Whitney
1891,Whitney
1892,Whitney
1893,Whitney
1894,Whitney
1895,Whitney
1896,Whitney
1897,Whitney
1898,Whitney
1899,Whitney
1900,Whitney
1901,Whitney
1902,Whitney
1903,Whitney
1904,Whitney
1905,Whitney
1906,Whitney
1907,Whitney
1908,Whitney
1909,Whitney
1910,Whitney
1911,Whitney
1912,Whitney
1913,Whitney
1914,Whitney
1915,Whitney
1916,Whitney
1917,Whitney
1918,Whitney
1919,Whitney
1920,Whitney
1921,Whitney
1922,Whitney
1923,Whitney
1924,Whitney
1925,Whitney
1926,Whitney
1927,Whitney
1928,Whitney
1929,Whitney
1930,Whitney
1931,Whitney
1932,Whitney
1933,Whitney
1934,Whitney
1935,Whitney
1936,Whitney
1937,Whitney
1938,Whitney
1939,Whitney
1940,Whitney
1941,Whitney
1942,Whitney
1943,Whitney
1944,Whitney
1945,Whitney
1945,Whitney
1946,Whitney
1947,Whitney
1948,Whitney
1949,Whitney
1950,Whitney
1951,Whitney
1952,Whitney
1953,Whitney
1954,Whitney
1955,Whitney
1956,Whitney
1957,Whitney
1958,Whitney
1959,Whitney
1960,Whitney
1961,Whitney
1962,Whitney
1963,Whitney
1964,Whitney
1965,Whitney
1965,Whitney
1966,Whitney
1967,Whitney
1968,Whitney
1969,Whitney
1970,Whitney
1971,Whitney
1972,Whitney
1973,Whitney
1974,Whitney
1975,Whitney
1976,Whitney
1977,Whitney
1978,Whitney
1979,Whitney
1980,Whitney
1981,Whitney
1982,Whitney
1983,Whitney
1984,Whitney
1985,Whitney
1986,Whitney
1987,Whitney
1988,Whitney
1989,Whitney
1990,Whitney
1991,Whitney
1992,Whitney
1993,Whitney
1994,Whitney
1995,Whitney
1996,Whitney
1997,Whitney
1998,Whitney
1999,Whitney
2000,Whitney
2001,Whitney
2002,Whitney
2003,Whitney
2004,Whitney
2005,Whitney
2006,Whitney
2007,Whitney
2008,Whitney
2009,Whitney
2010,Whitney
2011,Whitney
2012,Whitney
2012,Whitney
2013,Whitney
2014,Whitney
2015,Whitney
2016,Whitney
2017,Whitney
2018,Whitney
2019,Whitney
2020,Whitney
1870s,Whitney
1920s,Whitney
1925s,Whitney
1929s,Whitney
1930s,Whitney
1930ss,Whitney
1933s,Whitney
1940s,Whitney
1944s,Whitney
1950s,Whitney
1955s,Whitney
1960s,Whitney
1962s,Whitney
1963s,Whitney
1967s,Whitney
1970s,Whitney
1977s,Whitney
1980s,Whitney
1990s,Whitney
n.d,Whitney
Unknown,Whitney
