Label,Museum,source,target,Type,Weight
1894,MET,1,2013,Directed,1
1940,MET,1,2014,Directed,1
1902,MET,1,2015,Directed,1
1909,MET,1,2016,Directed,1
1906,MET,1,2017,Directed,1
1908,MET,1,2018,Directed,1
1911,MET,1,2019,Directed,1
1910,MET,1,2020,Directed,1
1907,MET,1,2021,Directed,1
1914,MET,1,2022,Directed,1
1913,MET,1,2023,Directed,1
1904,MET,1,2024,Directed,1
1916,MET,1,2025,Directed,1
1905,MET,1,2026,Directed,1
1917,MET,1,2027,Directed,1
1915,MET,1,2028,Directed,1
1918,MET,1,2029,Directed,1
1919,MET,1,2030,Directed,1
1934,MET,1,2031,Directed,1
1933,MET,1,2032,Directed,1
1930,MET,1,2033,Directed,1
1928,MET,1,2034,Directed,1
1969,MET,1,2035,Directed,1
1965,MET,1,2036,Directed,1
1950,MET,1,2037,Directed,1
1952,MET,1,2038,Directed,1
1949,MET,1,2039,Directed,1
1900,MET,1,2040,Directed,1
1960,MET,1,2041,Directed,1
1946,MET,1,2042,Directed,1
1948,MET,1,2043,Directed,1
1944,MET,1,2044,Directed,1
1929,MET,1,2045,Directed,1
1953,MET,1,2046,Directed,1
1945,MET,1,2047,Directed,1
1955,MET,1,2048,Directed,1
1920,MET,1,2049,Directed,1
1970,MET,1,2050,Directed,1
1924,MET,1,2051,Directed,1
1921,MET,1,2052,Directed,1
1947,MET,1,2053,Directed,1
1935,MET,1,2054,Directed,1
1964,MET,1,2055,Directed,1
1966,MET,1,2056,Directed,1
1971,MET,1,2057,Directed,1
1939,MET,1,2058,Directed,1
1958,MET,1,2059,Directed,1
1959,MET,1,2060,Directed,1
1957,MET,1,2061,Directed,1
1961,MET,1,2062,Directed,1
1963,MET,1,2063,Directed,1
1938,MET,1,2064,Directed,1
1936,MET,1,2065,Directed,1
1937,MET,1,2066,Directed,1
1943,MET,1,2067,Directed,1
1951,MET,1,2068,Directed,1
1931,MET,1,2069,Directed,1
1973,MET,1,2070,Directed,1
1972,MET,1,2071,Directed,1
1932,MET,1,2072,Directed,1
1962,MET,1,2073,Directed,1
1954,MET,1,2074,Directed,1
1967,MET,1,2075,Directed,1
1974,MET,1,2076,Directed,1
1883,MET,1,2077,Directed,1
1927,MET,1,2078,Directed,1
1926,MET,1,2079,Directed,1
1968,MET,1,2080,Directed,1
1975,MET,1,2081,Directed,1
1976,MET,1,2082,Directed,1
1941,MET,1,2083,Directed,1
1977,MET,1,2084,Directed,1
1942,MET,1,2085,Directed,1
1978,MET,1,2086,Directed,1
1956,MET,1,2087,Directed,1
1979,MET,1,2088,Directed,1
1923,MET,1,2089,Directed,1
1922,MET,1,2090,Directed,1
1912,MET,1,2091,Directed,1
1980,MET,1,2092,Directed,1
1981,MET,1,2093,Directed,1
1925,MET,1,2094,Directed,1
1982,MET,1,2095,Directed,1
1983,MET,1,2096,Directed,1
1984,MET,1,2097,Directed,1
1893,MET,1,2098,Directed,1
1985,MET,1,2099,Directed,1
1986,MET,1,2100,Directed,1
1886,MET,1,2101,Directed,1
1987,MET,1,2102,Directed,1
1899,MET,1,2103,Directed,1
1988,MET,1,2104,Directed,1
1989,MET,1,2105,Directed,1
1990,MET,1,2106,Directed,1
1991,MET,1,2107,Directed,1
1903,MET,1,2108,Directed,1
1992,MET,1,2109,Directed,1
1993,MET,1,2110,Directed,1
1994,MET,1,2111,Directed,1
1995,MET,1,2112,Directed,1
1996,MET,1,2113,Directed,1
1997,MET,1,2114,Directed,1
1998,MET,1,2115,Directed,1
1875,MET,1,2116,Directed,1
1872,MET,1,2117,Directed,1
1884,MET,1,2118,Directed,1
1877,MET,1,2119,Directed,1
1898,MET,1,2120,Directed,1
1878,MET,1,2121,Directed,1
1881,MET,1,2122,Directed,1
1901,MET,1,2123,Directed,1
1999,MET,1,2124,Directed,1
2000,MET,1,2125,Directed,1
2001,MET,1,2126,Directed,1
2002,MET,1,2127,Directed,1
2003,MET,1,2128,Directed,1
2005,MET,1,2129,Directed,1
2004,MET,1,2130,Directed,1
2006,MET,1,2131,Directed,1
1895,MET,1,2132,Directed,1
2007,MET,1,2133,Directed,1
2008,MET,1,2134,Directed,1
2009,MET,1,2135,Directed,1
2010,MET,1,2136,Directed,1
2011,MET,1,2137,Directed,1
2012,MET,1,2138,Directed,1
2013,MET,1,2139,Directed,1
